path,lines,sha256,declarations,internal_imports,test_annotations
.github/workflows/android.yml,89,aed5ce68c27fa5ba7ccdc21724f7e28f7f575d4717dcc6d3b456c8396b8c5ccd,,,0
CONTRIBUTING.md,9,900ea3c1c8c3bba95b30c8fe0efd4bb759d3687b3ef65b98a88516fe443f2903,,,0
README.md,181,aebdff340ec33a6c5fab5b2ece9eb59847f643b64e912382e81eab8a7c0c3fda,,,0
SECURITY.md,5,4f7ad2dd97a1c36a6276c56124b7ec984f2dab90324e2f60aa5314aaae1375f3,,,0
app/build.gradle.kts,221,4b10099975d43b24c5f5f96601ca342e50bd854a14fc5ebd7823c33b6eed896f,,,0
app/src/main/AndroidManifest.xml,51,5978d918881ec3f9d21b750f1337ea429b6fd92198d70590555a63d22e0d6f3f,,,0
app/src/main/java/io/github/ffenuss/modkit/MainActivity.kt,39,a3c838ea66bf2a7ad59c8f60a000d8d8f191cf9dbfcd49a78478bdb7ac19b910,MainActivity,io.github.ffenuss.modkit.runtime.RepackedRuntimeInstallStatusHandler; io.github.ffenuss.modkit.runtime.RepackedRuntimeInstallStatusStore; io.github.ffenuss.modkit.ui.ModKitApp; io.github.ffenuss.modkit.ui.theme.ModKitTheme,0
app/src/main/java/io/github/ffenuss/modkit/analysis/AnalysisManager.kt,610,0895b9e4203b8466d056b8a2e078d80159000e4de1e2e7a6eed17958455b3c6b,AnalysisManager,io.github.ffenuss.modkit.data.InstalledAppRepository; io.github.ffenuss.modkit.data.InstalledAppTarget; io.github.ffenuss.modkit.domain.EngineProgress; io.github.ffenuss.modkit.domain.EngineScheduleClass; io.github.ffenuss.modkit.domain.RunState,0
app/src/main/java/io/github/ffenuss/modkit/analysis/AnalysisRunState.kt,86,22610b475aea0ab803cc4c1478075dff41cbdc926151cf6ab92478f05beeca62,AnalysisTargetDescriptor; AnalysisRunState,io.github.ffenuss.modkit.domain.EngineProgress,0
app/src/main/java/io/github/ffenuss/modkit/analysis/AnalysisRunStore.kt,144,0beda5a9d57d5e900fbfb2de24b804741887c31f09c5c758b0bf02c18e4c4c78,AnalysisRunStore,io.github.ffenuss.modkit.domain.EngineProgress; io.github.ffenuss.modkit.domain.EngineScheduleClass; io.github.ffenuss.modkit.domain.RunState,0
app/src/main/java/io/github/ffenuss/modkit/analysis/AnalysisWatchdogPolicy.kt,43,6da2d179e40ce521bc47eee51d8781deeab18843ec47e81eb287ca770fdfa31b,AnalysisWatchdogPolicy,io.github.ffenuss.modkit.domain.EngineScheduleClass,0
app/src/main/java/io/github/ffenuss/modkit/analysis/ArtifactIdentity.kt,34,8d5fe18ade71904efa63eb53af521a402ec891731c6860a00bea04ebe95929d3,ArtifactIdentity,,0
app/src/main/java/io/github/ffenuss/modkit/analysis/ArtifactIndex.kt,30,e06c3f3daf0689c53b54d9369cd61cf09e11b5b6207739a9ce4b7dbecb41fc19,ArtifactIndex; ArtifactEntry,,0
app/src/main/java/io/github/ffenuss/modkit/analysis/AtomicCancellationSignal.kt,13,3e81b088530f37d51bd390fd7cea51c56c21f1aca3228920a92584af761be4fe,AtomicCancellationSignal,,0
app/src/main/java/io/github/ffenuss/modkit/analysis/DexInventoryEngine.kt,345,1cbb940bf58559416a5f8bd7e463c21872cec720161dac6558fa1218bbbc69bf,DexInventoryRecord; DexInventoryResult; DexInventoryEngine,io.github.ffenuss.modkit.domain.EngineProgress; io.github.ffenuss.modkit.domain.EngineScheduleClass; io.github.ffenuss.modkit.domain.RunState,0
app/src/main/java/io/github/ffenuss/modkit/analysis/ElfImage.kt,1237,fac571c31f847e788b42ff88f2a4c2e0d560e0966f15baba9e23baac870f3f01,ElfLoadSegment; ElfDynamicSymbol; ElfImage,,0
app/src/main/java/io/github/ffenuss/modkit/analysis/EngineContract.kt,41,503310386a7e48bf1c0184d73ced1164e5d64c40673614ae9fa4e925ea398f5f,CancellationSignal; AnalysisWorkspace; WorkspaceSource; AnalysisEngine,io.github.ffenuss.modkit.domain.EngineProgress; io.github.ffenuss.modkit.domain.EngineScheduleClass,0
app/src/main/java/io/github/ffenuss/modkit/analysis/EngineResultCache.kt,381,b8aa3ca26cf05cf03ed4482d4136031d6261998df0cfccac87c201602f4618b6,EngineResultCache,io.github.ffenuss.modkit.runtime.RuntimeEvidenceBundle; io.github.ffenuss.modkit.runtime.RuntimeEvidenceIntegrator; io.github.ffenuss.modkit.runtime.RuntimeStageAttemptLedger,0
app/src/main/java/io/github/ffenuss/modkit/analysis/EngineRoutingPlan.kt,103,a46296b234d9fa780bcf4e9c270db11938ffd40b55818f6c33093b3db798c0a5,PlannedEngine; EngineRoutingPlan; EngineRouter,io.github.ffenuss.modkit.domain.EngineScheduleClass,0
